Area_Code,Country_Origin,Year,PopulationYoung_Percentage,PopulationOld_Percentage,PopulationDensity,PopulationMidYear,PopulationMidYear_Females,PopulationMidYear_Males,SexRatio_MalesPer100Females,SurfaceArea
534,Sint Maarten (Dutch part),2019,,,1246.7059,0.0424,,,,
535,"Bonaire, St. Eustatius & Saba",2005,,,43.9116,0.0144,,,,
535,"Bonaire, St. Eustatius & Saba",2010,,,63.8415,0.0209,,,,
535,"Bonaire, St. Eustatius & Saba",2019,,,79.2043,0.026,,,,
540,New Caledonia,2005,27.9303,9.4514,12.9345,0.2364,0.1172,0.1192,101.7019,
540,New Caledonia,2010,25.8324,10.9902,13.8691,0.2535,0.1258,0.1277,101.5414,
540,New Caledonia,2017,23.046,13.0135,15.1614,0.2772,0.1375,0.1396,101.5101,18.575
540,New Caledonia,2019,22.434,13.7577,15.4677,0.2828,0.1405,0.1422,101.2061,
548,Vanuatu,2005,39.6757,5.139,17.1683,0.2093,0.1025,0.1068,104.1377,
548,Vanuatu,2010,38.2154,5.7068,19.3774,0.2362,0.1163,0.1199,103.1389,
548,Vanuatu,2017,38.8624,5.7161,23.4217,0.2855,0.1407,0.1448,102.9335,12.189
548,Vanuatu,2019,38.7106,5.7569,24.6007,0.2999,0.1478,0.152,102.8368,
554,New Zealand,2005,21.5448,16.4477,15.7053,4.1354,2.1096,2.0257,96.025,
554,New Zealand,2010,20.4975,18.3637,16.5966,4.3701,2.2243,2.1458,96.4693,
554,New Zealand,2017,19.7162,20.8563,17.8574,4.702,2.3901,2.3119,96.7268,268.107
554,New Zealand,2019,19.5666,21.7338,18.1651,4.7831,2.4319,2.3512,96.68,
558,Nicaragua,2005,36.223,6.0167,45.1944,5.4387,2.7546,2.6841,97.4437,
558,Nicaragua,2010,33.3185,6.2933,48.3968,5.8241,2.955,2.8691,97.0931,
558,Nicaragua,2017,30.5484,7.8709,53.0567,6.3848,3.2378,3.147,97.1943,130.373
558,Nicaragua,2019,29.8549,8.412,54.3917,6.5455,3.3195,3.226,97.1823,
562,Niger,2005,49.1925,4.1248,10.7559,13.6245,6.841,6.7835,99.1585,
562,Niger,2010,50.0361,4.1561,12.9976,16.464,8.237,8.227,99.8786,
562,Niger,2017,50.0929,4.1346,17.0541,21.6024,10.7574,10.8449,100.8134,1267.0
562,Niger,2019,49.8422,4.1133,18.4027,23.3107,11.5963,11.7145,101.0193,
566,Nigeria,2005,43.6714,4.6015,152.4699,138.865,68.7442,70.1208,102.0026,
566,Nigeria,2010,44.0352,4.5414,174.0321,158.5032,78.342,80.1612,102.3221,
566,Nigeria,2017,44.0131,4.4853,209.5735,190.8732,94.1858,96.6874,102.656,923.768
566,Nigeria,2019,43.6875,4.5025,220.6524,200.9636,99.1317,101.8319,102.7238,
570,Niue,2005,26.1168,15.063,6.4731,0.0017,,,94.7545,
570,Niue,2010,25.7353,16.8449,6.2692,0.0016,,,101.8919,
570,Niue,2016,22.7538,20.0822,6.2462,0.0016,,,100.0,
570,Niue,2017,,,6.2231,0.0016,,,,0.26
570,Niue,2019,,,6.2115,0.0016,,,,
578,Norway,2005,19.6122,19.8122,12.6821,4.6324,2.3341,2.2982,98.4634,
578,Norway,2010,18.8116,21.0006,13.3761,4.8859,2.4434,2.4424,99.9593,
578,Norway,2017,17.6701,22.367,14.4998,5.2963,2.6249,2.6714,101.7694,386.194
578,Norway,2019,17.413,22.9632,14.7258,5.3789,2.662,2.7168,102.0573,
580,Northern Mariana Islands,2005,22.9345,3.7403,138.5739,0.0637,,,83.2654,
580,Northern Mariana Islands,2010,26.6522,5.7718,118.313,0.0544,,,106.156,
580,Northern Mariana Islands,2016,23.5251,9.9945,119.6152,0.055,,,107.0632,
580,Northern Mariana Islands,2017,,,119.8783,0.0551,,,,0.457
580,Northern Mariana Islands,2019,,,124.3826,0.0572,,,,
583,Micronesia (Fed. States of),2005,38.8546,5.4255,151.6129,0.1061,0.0522,0.0539,103.3393,
583,Micronesia (Fed. States of),2010,35.6862,5.4474,147.0157,0.1029,0.0507,0.0522,103.0903,
583,Micronesia (Fed. States of),2017,31.9786,7.0214,159.2271,0.1115,0.0548,0.0567,103.422,0.702
583,Micronesia (Fed. States of),2019,31.4554,7.5772,162.5929,0.1138,0.0559,0.0579,103.4374,
584,Marshall Islands,2004,40.57,3.6105,289.3,0.0521,,,104.0466,
584,Marshall Islands,2005,,,289.1944,0.0521,,,,
584,Marshall Islands,2010,40.9483,4.4821,291.25,0.0524,,,105.2188,
584,Marshall Islands,2016,38.9725,5.4975,294.8111,0.0531,,,104.461,
584,Marshall Islands,2017,,,295.15,0.0531,,,,0.181
584,Marshall Islands,2019,,,326.6167,0.0588,,,,
585,Palau,2005,24.1021,8.2484,43.2739,0.0199,,,116.1924,
585,Palau,2010,,,44.5,0.0205,,,,
585,Palau,2016,20.2788,13.1483,46.7457,0.0215,,,113.253,
585,Palau,2017,,,47.237,0.0217,,,,0.459
585,Palau,2019,,,39.1478,0.018,,,,
586,Pakistan,2005,39.973,6.2578,207.9494,160.304,77.6278,82.6762,106.5034,
586,Pakistan,2010,37.695,6.3026,232.753,179.4246,86.9977,92.427,106.2408,
586,Pakistan,2017,35.4786,6.4761,269.6998,207.9062,100.9123,106.9939,106.0265,796.095
586,Pakistan,2019,35.0544,6.6394,280.9326,216.5653,105.1177,111.4476,106.0217,
591,Panama,2005,30.4297,8.7684,44.7971,3.3302,1.6542,1.676,101.3202,
591,Panama,2010,29.1307,9.6909,49.0004,3.6427,1.8125,1.8302,100.981,
591,Panama,2017,27.3395,11.35,55.2431,4.1068,2.0487,2.0581,100.4577,75.32
591,Panama,2019,26.7791,11.9273,57.1219,4.2464,2.12,2.1264,100.3032,
598,Papua New Guinea,2005,39.1794,5.0349,14.342,6.4949,3.1917,3.3032,103.4942,
598,Papua New Guinea,2010,38.3023,5.2846,16.143,7.3105,3.5907,3.7198,103.5964,
598,Papua New Guinea,2017,36.1384,5.7077,18.6328,8.438,4.1325,4.3055,104.1862,462.84
598,Papua New Guinea,2019,35.486,5.8967,19.3793,8.7761,4.2961,4.48,104.2807,
600,Paraguay,2005,35.4962,6.9574,14.6592,5.8241,2.867,2.9571,103.1447,
600,Paraguay,2010,32.9354,7.7503,15.7262,6.248,3.07,3.178,103.5193,
600,Paraguay,2017,29.7044,9.2726,17.2843,6.8671,3.3742,3.4929,103.5181,406.752
600,Paraguay,2019,29.1793,9.6866,17.7313,7.0446,3.4638,3.5809,103.3818,
604,Peru,2005,32.0454,7.9457,21.7704,27.8661,13.9733,13.8928,99.4236,
604,Peru,2010,30.0951,8.9003,22.6779,29.0277,14.5538,14.4739,99.4511,
604,Peru,2017,26.3625,11.3443,24.5659,31.4443,15.831,15.6133,98.6243,1285.216
604,Peru,2019,25.2545,12.0793,25.3988,32.5105,16.3622,16.1482,98.6922,
608,Philippines,2005,37.0585,5.4608,289.5202,86.3263,42.9396,43.3867,101.0411,
608,Philippines,2010,33.9914,6.5015,315.145,93.9668,46.5691,47.3977,101.7794,
608,Philippines,2017,31.468,7.8036,352.7281,105.1729,52.2936,52.8793,101.12,300.0
608,Philippines,2019,30.4759,8.341,362.6006,108.1166,53.8006,54.3161,100.9582,
616,Poland,2005,16.6108,17.0271,125.2945,38.3689,19.792,18.577,93.8614,
616,Poland,2010,15.2173,19.3524,125.1666,38.3298,19.7976,18.5322,93.6083,
616,Poland,2017,14.8793,24.1535,123.9368,37.9532,19.5548,18.3984,94.0866,312.679
616,Poland,2019,15.1854,25.4113,123.7232,37.8878,19.5272,18.3605,94.0253,
620,Portugal,2005,15.4363,22.4397,114.7341,10.5085,5.4285,5.08,93.5791,
620,Portugal,2010,14.9672,24.6722,115.6901,10.5961,5.5252,5.0709,91.7776,
620,Portugal,2017,13.6671,27.9109,112.3324,10.2885,5.4231,4.8654,89.7158,92.226
620,Portugal,2019,13.2521,28.8549,111.6518,10.2262,5.3895,4.8367,89.7425,
624,Guinea-Bissau,2005,44.0653,4.4165,47.8282,1.3449,0.696,0.649,93.2453,
624,Guinea-Bissau,2010,43.1457,4.3243,54.1465,1.5226,0.7846,0.738,94.0722,
624,Guinea-Bissau,2017,42.4861,4.5813,65.0123,1.8281,0.9363,0.8919,95.2561,36.125
624,Guinea-Bissau,2019,42.1537,4.5766,68.3116,1.9209,0.9821,0.9389,95.602,
626,Timor-Leste,2005,44.6618,5.921,66.9223,0.9951,0.4925,0.5026,102.0482,
626,Timor-Leste,2010,42.5343,6.3372,73.5389,1.0935,0.5408,0.5527,102.2129,
626,Timor-Leste,2017,38.3023,6.3523,83.6085,1.2433,0.6149,0.6284,102.2051,14.919
626,Timor-Leste,2019,37.2921,6.4838,86.9616,1.2931,0.6396,0.6535,102.1723,
630,Puerto Rico,2005,22.2695,16.8761,409.4576,3.6319,1.8905,1.7414,92.1088,
630,Puerto Rico,2010,20.6289,18.2972,403.5897,3.5798,1.8607,1.7191,92.3918,
630,Puerto Rico,2017,17.428,23.5306,356.6705,3.1637,1.656,1.5077,91.0474,8.868
630,Puerto Rico,2019,16.2608,26.2342,330.7112,2.9334,1.5414,1.392,90.3031,
634,Qatar,2005,21.7045,2.5186,74.5406,0.8654,0.2808,0.5846,208.234,
634,Qatar,2010,12.8872,1.6299,159.8904,1.8563,0.437,1.4193,324.7504,
634,Qatar,2017,13.5107,2.7089,234.688,2.7247,0.663,2.0617,310.9719,11.607
634,Qatar,2019,13.5959,3.2577,243.9334,2.8321,0.6986,2.1335,305.4214,
638,Réunion,2005,26.8588,10.2633,316.6392,0.7916,0.4031,0.3885,96.3566,
638,Réunion,2010,25.4171,12.1951,332.2076,0.8305,0.4284,0.4021,93.8738,
638,Réunion,2017,23.6064,16.4103,350.4536,0.8761,0.4519,0.4243,93.8913,2.513
638,Réunion,2019,22.7533,17.6108,355.5708,0.8889,0.4586,0.4303,93.8157,
642,Romania,2005,15.7384,19.6516,93.0499,21.4173,10.9787,10.4386,95.0802,
642,Romania,2010,15.7755,21.3425,88.9424,20.4719,10.5318,9.94,94.3806,
642,Romania,2017,15.4495,24.9005,85.3889,19.654,10.0874,9.5666,94.8378,238.3907
642,Romania,2019,15.574,25.6933,84.1315,19.3646,9.9463,9.4183,94.6916,
643,Russian Federation,2005,15.1738,17.1844,8.7729,143.6721,76.8209,66.8513,87.0223,
643,Russian Federation,2010,14.9273,17.9647,8.7611,143.4793,76.9378,66.5415,86.4874,
643,Russian Federation,2017,17.634,21.0083,8.8863,145.5301,78.101,67.429,86.3357,17098.246
643,Russian Federation,2019,18.1549,21.9565,8.9072,145.8723,78.2693,67.6029,86.3722,
646,Rwanda,2005,42.3586,4.1802,358.3387,8.8402,4.5145,4.3257,95.8176,
646,Rwanda,2010,41.5394,4.0508,406.9452,10.0393,5.1185,4.9209,96.1399,
646,Rwanda,2017,40.1361,4.7317,485.649,11.981,6.0949,5.8861,96.5736,26.338
646,Rwanda,2019,39.766,4.9602,511.8342,12.627,6.4209,6.2061,96.6552,
652,Saint Barthélemy,2005,,,388.7727,0.0086,,,,
652,Saint Barthélemy,2010,,,419.7273,0.0092,,,,
652,Saint Barthélemy,2019,,,447.5909,0.0098,,,,
654,Saint Helena,2005,,,10.9615,0.0043,,,,
654,Saint Helena,2010,,,10.7103,0.0042,,,,
654,Saint Helena,2017,,,10.3821,0.004,,,,0.308
654,Saint Helena,2019,,,15.5359,0.0061,,,,
659,Saint Kitts and Nevis,2000,27.9772,9.9128,174.5154,0.0454,,,101.949,
659,Saint Kitts and Nevis,2005,,,186.9654,0.0486,,,95.7168,
659,Saint Kitts and Nevis,2010,,,197.8654,0.0514,,,95.7249,
659,Saint Kitts and Nevis,2011,,,200.0231,0.052,,,97.0024,
659,Saint Kitts and Nevis,2017,,,212.8654,0.0553,,,,0.261
659,Saint Kitts and Nevis,2019,,,203.1654,0.0528,,,,
660,Anguilla,2001,27.6966,10.1548,126.3556,0.0114,,,97.2867,
660,Anguilla,2005,,,140.4222,0.0126,,,,
660,Anguilla,2010,,,152.9889,0.0138,,,,
660,Anguilla,2011,23.295,7.5509,155.0111,0.014,,,97.5503,
660,Anguilla,2017,,,165.6556,0.0149,,,,0.091
660,Anguilla,2019,,,165.2111,0.0149,,,,
662,Saint Lucia,2005,27.7615,9.6318,267.8967,0.1634,0.0833,0.0801,96.2364,
662,Saint Lucia,2010,23.2157,11.8637,285.3852,0.1741,0.0884,0.0857,96.9055,
662,Saint Lucia,2017,18.9087,13.5919,296.6459,0.181,0.0918,0.0891,97.0372,0.539
662,Saint Lucia,2019,18.2111,14.4116,299.6557,0.1828,0.0928,0.09,97.0326,
663,Saint Martin (French part),2005,,,646.1887,0.0342,,,,
663,Saint Martin (French part),2010,,,709.0943,0.0376,,,,
663,Saint Martin (French part),2019,,,717.0189,0.038,,,,
666,Saint Pierre and Miquelon,2005,,,27.2217,0.0063,,,,
666,Saint Pierre and Miquelon,2006,19.0531,17.7796,27.2174,0.0063,,,98.1559,
666,Saint Pierre and Miquelon,2010,,,27.2783,0.0063,,,,
666,Saint Pierre and Miquelon,2017,,,27.4783,0.0063,,,,0.242
666,Saint Pierre and Miquelon,2019,,,25.313,0.0058,,,,
670,Saint Vincent & Grenadines,2005,28.5543,9.3238,278.4974,0.1086,0.0537,0.0549,102.0969,
670,Saint Vincent & Grenadines,2010,25.8334,11.3085,277.5769,0.1083,0.0532,0.0551,103.657,
670,Saint Vincent & Grenadines,2017,22.9424,13.6961,281.6077,0.1098,0.054,0.0558,103.438,0.389
670,Saint Vincent & Grenadines,2019,22.1939,14.317,283.5615,0.1106,0.0545,0.0561,102.9378,
674,San Marino,2004,15.1798,21.5212,481.1,0.0289,,,96.1838,
674,San Marino,2005,,,487.3333,0.0292,,,96.1412,
674,San Marino,2010,20.9317,21.6103,518.5,0.0311,,,93.5074,
674,San Marino,2015,14.9653,24.0856,549.3333,0.033,,,94.8709,0.061
674,San Marino,2017,,,556.6667,0.0334,,,,0.061
674,San Marino,2019,,,564.3333,0.0339,,,,
678,Sao Tome and Principe,2005,43.9977,4.6986,164.0333,0.1575,0.0795,0.0779,97.9933,
678,Sao Tome and Principe,2010,43.4066,4.4048,187.8865,0.1804,0.0902,0.0902,99.9357,
678,Sao Tome and Principe,2017,42.855,4.6593,215.7177,0.2071,0.1035,0.1036,100.1295,0.964
678,Sao Tome and Principe,2019,42.1467,4.8838,224.0167,0.2151,0.1074,0.1076,100.162,
682,Saudi Arabia,2005,33.8739,4.4469,11.0789,23.8162,10.5553,13.2609,125.6334,
682,Saudi Arabia,2010,29.7035,4.4554,12.756,27.4215,11.994,15.4275,128.627,
682,Saudi Arabia,2017,25.2591,5.4265,15.3981,33.1012,14.1261,18.9751,134.327,2206.714
682,Saudi Arabia,2019,24.866,5.6917,15.9411,34.2685,14.485,19.7835,136.5795,
686,Senegal,2005,43.7444,4.9494,57.602,11.0901,5.6727,5.4175,95.5009,
686,Senegal,2010,43.507,4.764,65.8502,12.6781,6.5058,6.1723,94.8736,
686,Senegal,2017,43.2363,4.7755,80.0881,15.4194,7.9126,7.5068,94.8715,196.712
686,Senegal,2019,42.8399,4.7973,84.6432,16.2964,8.3499,7.9464,95.1677,
688,Serbia,2005,18.7143,18.8048,105.1203,9.1938,4.6927,4.5011,95.9154,
688,Serbia,2010,17.3351,21.0905,102.8042,8.9913,4.5848,4.4065,96.1106,
688,Serbia,2017,15.8259,24.8725,100.9562,8.8296,4.5026,4.327,96.0989,88.499
688,Serbia,2019,15.5409,25.1863,100.3,8.7722,4.4748,4.2974,96.0369,
690,Seychelles,2005,24.9662,9.1124,192.713,0.0886,0.0444,0.0443,99.8782,
690,Seychelles,2010,22.8118,9.9218,198.4,0.0913,0.0442,0.0471,106.5888,
690,Seychelles,2017,23.479,11.5819,209.6043,0.0964,0.0469,0.0495,105.6566,0.457
690,Seychelles,2019,23.7387,12.4914,212.4761,0.0977,0.0476,0.0502,105.4505,
694,Sierra Leone,2005,43.7412,5.0066,78.2159,5.6456,2.8406,2.805,98.748,
694,Sierra Leone,2010,43.0379,4.8143,88.8838,6.4156,3.223,3.1926,99.056,
694,Sierra Leone,2017,41.3566,4.6463,103.7465,7.4884,3.7545,3.7339,99.4519,72.3
694,Sierra Leone,2019,40.7243,4.6314,108.2463,7.8132,3.9149,3.8984,99.5783,
702,Singapore,2005,17.2276,10.7364,6093.8386,4.2657,2.1096,2.1561,102.2007,
702,Singapore,2010,13.9939,12.6714,7330.2457,5.1312,2.456,2.6751,108.9214,
702,Singapore,2017,12.2125,17.7681,8154.3443,5.708,2.7206,2.9875,109.8113,0.719
702,Singapore,2019,12.3315,19.863,8291.91,5.8043,2.7661,3.0382,109.8372,
703,Slovakia,2005,16.8224,16.1126,112.2726,5.399,2.7815,2.6175,94.1036,
703,Slovakia,2010,15.3351,17.8209,112.3834,5.4043,2.783,2.6213,94.1923,
703,Slovakia,2017,15.3377,21.8289,113.2902,5.4479,2.7981,2.6498,94.6981,49.035
703,Slovakia,2019,15.5277,22.8402,113.4797,5.457,2.8005,2.6565,94.8586,
704,Viet Nam,2005,27.1022,8.6014,270.3669,83.8327,42.3011,41.5315,98.1806,
704,Viet Nam,2010,23.6272,8.8259,283.7026,87.9677,44.2213,43.7464,98.926,
704,Viet Nam,2017,23.0976,10.9879,305.0945,94.6006,47.4076,47.193,99.5473,330.967
704,Viet Nam,2019,23.2138,11.8554,311.0978,96.4621,48.3108,48.1514,99.67,
705,Slovenia,2005,13.9687,20.8174,99.0554,1.995,1.0195,0.9755,95.685,
705,Slovenia,2010,13.9905,22.1767,101.4567,2.0433,1.0309,1.0125,98.2176,
705,Slovenia,2017,14.9022,26.2317,103.098,2.0764,1.0438,1.0326,98.9355,20.273
705,Slovenia,2019,15.1056,27.2352,103.2102,2.0787,1.044,1.0347,99.1105,
706,Somalia,2005,47.8879,4.2554,16.6526,10.4469,5.2204,5.2265,100.1166,
706,Somalia,2010,48.1745,4.3753,19.1983,12.0439,6.0278,6.016,99.8042,
706,Somalia,2017,46.753,4.5308,23.2556,14.5892,7.3133,7.2759,99.4879,637.657
706,Somalia,2019,46.3795,4.5498,24.6165,15.4429,7.7427,7.7002,99.4509,
710,South Africa,2005,30.8813,7.0339,39.4699,47.8806,24.2731,23.6075,97.2576,
710,South Africa,2010,29.6717,7.1703,42.2203,51.217,25.9475,25.2695,97.3872,
710,South Africa,2017,29.1503,8.1469,46.9955,57.0098,28.8883,28.1214,97.3454,1221.037
710,South Africa,2019,28.9683,8.4053,48.272,58.5583,29.699,28.8593,97.1728,
716,Zimbabwe,2005,41.3469,4.7155,31.218,12.0767,6.293,5.7837,91.9065,
716,Zimbabwe,2010,41.6098,4.4003,32.8234,12.6977,6.6487,6.049,90.9805,
716,Zimbabwe,2017,42.5979,4.4723,36.8013,14.2366,7.4595,6.7771,90.8508,390.757
716,Zimbabwe,2019,42.1581,4.5784,37.8583,14.6455,7.6621,6.9834,91.1413,
724,Spain,2005,14.2466,21.5876,88.25,44.0191,22.3033,21.7158,97.3662,
724,Spain,2010,14.7934,22.2385,94.0878,46.931,23.7349,23.1961,97.7302,
724,Spain,2017,14.7033,24.7956,93.5193,46.6474,23.7514,22.896,96.3985,505.944
724,Spain,2019,14.5769,25.7252,93.6984,46.7368,23.7761,22.9606,96.5701,
728,South Sudan,2005,44.2719,5.1209,12.3347,7.5359,3.7761,3.7599,99.5705,
728,South Sudan,2010,43.5183,5.1908,15.5632,9.5084,4.7559,4.7525,99.9291,
728,South Sudan,2017,42.0568,5.1207,17.8586,10.9108,5.4513,5.4595,100.1506,658.841
728,South Sudan,2019,41.5681,5.1475,18.1064,11.0621,5.5256,5.5365,100.1981,
729,Sudan,2005,43.4706,4.8484,17.5347,30.9495,15.4343,15.5152,100.5241,
729,Sudan,2010,42.9944,5.0892,19.5717,34.545,17.3127,17.2323,99.5353,
729,Sudan,2019,40.1557,5.599,24.2561,42.8132,21.4253,21.388,99.8258,
732,Western Sahara,2005,31.5095,3.5775,1.6448,0.4375,0.2068,0.2307,111.5198,
732,Western Sahara,2010,29.3505,3.8232,1.8055,0.4803,0.2274,0.2529,111.2099,
732,Western Sahara,2017,28.0562,5.398,2.0775,0.5526,0.263,0.2896,110.1445,266.0
732,Western Sahara,2019,27.4313,6.0364,2.1897,0.5825,0.2777,0.3048,109.7413,
740,Suriname,2005,31.318,8.5137,3.2017,0.4995,0.2475,0.2519,101.7698,
740,Suriname,2010,29.4031,9.0571,3.3919,0.5291,0.2626,0.2665,101.492,
740,Suriname,2017,27.4331,10.0325,3.657,0.5705,0.2836,0.2869,101.176,163.82
740,Suriname,2019,26.9119,10.4955,3.7267,0.5814,0.2891,0.2923,101.0885,
748,Eswatini,2005,41.3282,5.1337,59.9174,1.0306,0.5413,0.4892,90.3734,
748,Eswatini,2010,40.1881,5.5619,61.9091,1.0648,0.5627,0.5022,89.2529,
748,Eswatini,2017,38.3444,5.7431,65.3956,1.1248,0.5775,0.5473,94.7618,17.363
748,Eswatini,2019,37.8314,5.7235,66.7517,1.1481,0.5853,0.5628,96.147,
752,Sweden,2005,17.4046,23.4604,22.0272,9.0386,4.5565,4.4821,98.3661,
752,Sweden,2010,16.5079,24.8655,22.8839,9.3902,4.713,4.6772,99.24,
752,Sweden,2017,17.4952,25.4847,24.1383,9.9049,4.9492,4.9557,100.1327,438.574
752,Sweden,2019,17.6255,25.7745,24.4587,10.0364,5.0108,5.0256,100.2954,
756,Switzerland,2005,16.2893,21.2633,186.9323,7.3868,3.7708,3.616,95.8943,
756,Switzerland,2010,15.0583,22.8281,197.6079,7.8087,3.9637,3.845,97.0058,
756,Switzerland,2017,14.8725,24.0979,213.9843,8.4558,4.2659,4.1899,98.22,41.291
756,Switzerland,2019,14.9407,24.8448,217.4148,8.5914,4.3307,4.2607,98.3827,
760,Syrian Arab Republic,2005,39.3293,4.9245,99.9901,18.3612,8.9929,9.3683,104.1743,
760,Syrian Arab Republic,2010,37.3903,5.0099,116.3346,21.3625,10.5775,10.7851,101.9623,
760,Syrian Arab Republic,2017,31.8295,6.775,93.0985,17.0957,8.5033,8.5923,101.0466,185.18
760,Syrian Arab Republic,2019,31.058,7.2715,92.9594,17.0701,8.5156,8.5546,100.4576,
762,Tajikistan,2005,38.0254,5.0701,48.509,6.7893,3.3762,3.4131,101.0916,
762,Tajikistan,2010,35.6773,4.7783,53.7825,7.5274,3.7296,3.7978,101.8308,
762,Tajikistan,2017,36.4524,5.1588,63.4486,8.8803,4.402,4.4783,101.7348,142.6
762,Tajikistan,2019,37.0711,5.5498,66.5977,9.321,4.6231,4.698,101.6198,
764,Thailand,2005,21.2858,11.1388,128.0436,65.4162,33.2425,32.1737,96.7848,
764,Thailand,2010,19.1838,12.9412,131.5254,67.195,34.2638,32.9313,96.1111,
764,Thailand,2017,17.3538,17.0012,135.4691,69.2098,35.458,33.7518,95.1882,513.12
764,Thailand,2019,16.8235,18.4579,136.2829,69.6256,35.7207,33.9048,94.9164,
768,Togo,2005,42.777,4.4863,103.1741,5.6116,2.8349,2.7767,97.9455,
768,Togo,2010,42.787,4.433,118.0673,6.4217,3.236,3.1856,98.4423,
768,Togo,2017,41.6376,4.5862,141.5421,7.6985,3.871,3.8275,98.8749,56.785
768,Togo,2019,40.9984,4.6528,148.6002,8.0824,4.0617,4.0206,98.9889,
772,Tokelau,2001,40.7287,9.499,150.3,0.0015,,,98.067,
772,Tokelau,2005,,,120.8,0.0012,,,,
772,Tokelau,2006,36.5769,11.2945,116.7,0.0012,,,102.6408,
772,Tokelau,2010,,,114.0,0.0011,,,,
772,Tokelau,2016,28.2751,12.2022,128.2,0.0013,,,100.0,
772,Tokelau,2017,,,130.0,0.0013,,,,0.012
772,Tokelau,2019,,,134.0,0.0013,,,,
776,Tonga,2005,38.2062,8.1621,140.1458,0.1009,0.0503,0.0507,100.788,
776,Tonga,2010,37.4079,7.8549,144.425,0.104,0.0519,0.0521,100.5381,
776,Tonga,2017,35.7831,8.6629,141.6639,0.102,0.051,0.051,99.9843,0.747
776,Tonga,2019,35.0728,8.6962,145.1306,0.1045,0.0522,0.0523,100.1436,
780,Trinidad and Tobago,2005,21.8509,10.8082,252.7294,1.2965,0.6533,0.6432,98.4678,
780,Trinidad and Tobago,2010,20.7224,12.4367,258.8981,1.3281,0.6704,0.6578,98.1163,
780,Trinidad and Tobago,2017,20.5385,15.3902,269.7971,1.3841,0.7,0.6841,97.7288,5.127
780,Trinidad and Tobago,2019,20.2612,16.3734,271.9246,1.395,0.706,0.689,97.5913,
784,United Arab Emirates,2005,18.3413,1.6024,54.8831,4.5882,1.3587,3.2295,237.6863,
784,United Arab Emirates,2010,13.1563,1.3995,102.2726,8.55,2.154,6.396,296.9299,
784,United Arab Emirates,2017,14.5044,2.2087,113.4833,9.4872,2.8917,6.5955,228.0813,83.6
784,United Arab Emirates,2019,14.7126,2.7993,116.8724,9.7705,3.0037,6.7668,225.2809,
788,Tunisia,2005,25.4918,10.052,65.0539,10.1068,5.0485,5.0583,100.1947,
788,Tunisia,2010,23.3332,10.3837,68.4555,10.6352,5.3322,5.303,99.4528,
788,Tunisia,2017,24.1116,12.3694,73.5932,11.4334,5.7681,5.6654,98.2189,163.61
788,Tunisia,2019,24.2261,13.061,75.275,11.6947,5.8967,5.798,98.3252,
792,Turkey,2005,28.6,9.5561,88.2287,67.9035,34.4839,33.4196,96.9138,
792,Turkey,2010,26.9019,10.3577,93.9763,72.327,36.7627,35.5642,96.7399,
792,Turkey,2017,25.0028,12.1021,105.3967,81.1165,41.1382,39.9782,97.1802,783.562
792,Turkey,2019,24.2908,12.7289,108.4022,83.4296,42.2559,41.1737,97.439,
795,Turkmenistan,2005,32.6073,6.0641,10.1178,4.7546,2.4158,2.3389,96.8177,
795,Turkmenistan,2010,29.5174,6.0788,10.8255,5.0872,2.5847,2.5025,96.8204,
795,Turkmenistan,2017,30.9103,7.2795,12.2522,5.7577,2.9226,2.8351,97.0061,488.1
795,Turkmenistan,2019,30.7583,7.8324,12.6446,5.9421,3.0164,2.9257,96.9925,
796,Turks and Caicos Islands,2001,28.6282,5.2499,21.2474,0.0202,,,99.079,
796,Turks and Caicos Islands,2005,,,27.84,0.0264,,,99.0762,
796,Turks and Caicos Islands,2010,,,32.6253,0.031,,,106.7106,
796,Turks and Caicos Islands,2017,19.1647,7.5719,37.3116,0.0354,,,104.1034,0.9482
796,Turks and Caicos Islands,2019,,,40.2011,0.0382,,,,
798,Tuvalu,2002,36.1678,8.6079,321.1667,0.0096,,,97.8684,
798,Tuvalu,2005,,,334.2333,0.01,,,,
798,Tuvalu,2010,,,351.0333,0.0105,,,,
798,Tuvalu,2016,31.1055,9.9178,369.9,0.0111,,,102.0,
798,Tuvalu,2017,,,373.0667,0.0112,,,,0.026
798,Tuvalu,2019,,,388.2,0.0116,,,,
800,Uganda,2005,49.6674,3.1502,138.5546,27.6846,14.0456,13.639,97.1057,
800,Uganda,2010,49.0926,3.0312,162.295,32.4282,16.5133,15.9148,96.3755,
800,Uganda,2017,47.3199,3.1297,206.0287,41.1666,20.9184,20.2482,96.7959,241.55
800,Uganda,2019,46.5,3.1872,221.5585,44.2696,22.4624,21.8072,97.0829,
804,Ukraine,2005,14.6234,20.368,80.9411,46.8908,25.1407,21.7501,86.5136,
804,Ukraine,2010,14.126,20.9527,79.0446,45.7921,24.6553,21.1368,85.7294,
804,Ukraine,2017,15.629,22.8226,76.793,44.4877,23.8899,20.5978,86.22,603.5
804,Ukraine,2019,15.9397,23.3712,75.9401,43.9936,23.6146,20.379,86.2983,
807,North Macedonia,2005,20.2061,15.3143,81.692,2.0603,1.0305,1.0298,99.9276,
807,North Macedonia,2010,17.9055,16.3791,82.1071,2.0707,1.0358,1.0349,99.9144,
807,North Macedonia,2017,16.6612,19.4396,82.5534,2.082,1.0402,1.0418,100.1513,25.713
