Ticker Symbol,Period Ending,Cash and Cash Equivalents,Net Income,Total Assets,Total Equity,Total Liabilities,Total Revenue,Earnings Per Share
CTSH,2012-12-31,1570077000.0,1051263000.0,6521571000.0,4854383000.0,1667188000.0,7346472000.0,3.49
CVX,2012-12-31,20939000000.0,26179000000.0,232982000000.0,136524000000.0,96458000000.0,230590000000.0,13.42
CXO,2012-12-31,2880000.0,431689000.0,8589437000.0,3466196000.0,5123241000.0,1819814000.0,4.18
D,2012-12-31,460000000.0,302000000.0,46838000000.0,10568000000.0,36270000000.0,12835000000.0,0.53
DFS,2012-11-30,10147000000.0,2345000000.0,75283000000.0,9778000000.0,65505000000.0,8984000000.0,4.47
DGX,2012-12-31,296000000.0,556000000.0,9284000000.0,4163000000.0,5121000000.0,7383000000.0,3.49
DHR,2012-12-31,1678700000.0,2392200000.0,32941000000.0,19016500000.0,13924500000.0,18260400000.0,3.45
DLR,2012-12-31,100331000.0,210334000.0,8819214000.0,3468305000.0,5350909000.0,1279067000.0,1.48
DNB,2012-12-31,149100000.0,295500000.0,1991800000.0,-1017400000.0,3009200000.0,1663000000.0,6.47
DUK,2012-12-31,1424000000.0,1768000000.0,113856000000.0,40863000000.0,72993000000.0,17912000000.0,0.21
DVA,2012-12-31,533748000.0,536017000.0,16014633000.0,3763137000.0,12251496000.0,8186280000.0,5.58
ECL,2012-12-31,1157800000.0,703600000.0,17572300000.0,6077000000.0,11495300000.0,11838700000.0,2.41
EFX,2012-12-31,146800000.0,272100000.0,4520100000.0,1933200000.0,2586900000.0,2073000000.0,2.27
EIX,2012-12-31,170000000.0,-92000000.0,44394000000.0,9432000000.0,34962000000.0,11862000000.0,-0.56
EMN,2012-12-31,249000000.0,437000000.0,11710000000.0,2943000000.0,8767000000.0,8102000000.0,3.0
EOG,2012-12-31,876435000.0,570279000.0,27336578000.0,13284764000.0,14051814000.0,11682636000.0,2.13
EQIX,2012-12-31,252213000.0,140028000.0,6135797000.0,2313441000.0,3822356000.0,1887376000.0,3.01
EQR,2012-12-31,863032000.0,841719000.0,17201000000.0,7289813000.0,9911187000.0,1747502000.0,2.729
ES,2012-12-31,45748000.0,525945000.0,28302824000.0,9237050000.0,19065774000.0,6273787000.0,1.9
ESS,2012-12-31,42126000.0,125284000.0,4847223000.0,1764804000.0,3082419000.0,535153000.0,3.42
ETFC,2012-12-31,3138392000.0,-113000000.0,47386739000.0,4904470000.0,42482269000.0,1365000000.0,-0.39
ETN,2012-12-31,577000000.0,1217000000.0,35810000000.0,15113000000.0,20632000000.0,16311000000.0,3.54
ETR,2012-12-31,532569000.0,868363000.0,43202502000.0,9291089000.0,33911413000.0,10302079000.0,4.77
EW,2012-12-31,310900000.0,291500000.0,2221500000.0,1479300000.0,742200000.0,1899600000.0,2.55
EXPD,2012-12-31,1260842000.0,333360000.0,2954125000.0,2027699000.0,926426000.0,5992215000.0,1.58
EXR,2012-12-31,47761000.0,208922000.0,3223477000.0,1491807000.0,1731670000.0,409396000.0,1.15
FBHS,2012-12-31,336000000.0,118700000.0,3873900000.0,2381100000.0,1492800000.0,3134800000.0,0.74
FCX,2012-12-31,3705000000.0,3100000000.0,35440000000.0,17543000000.0,17897000000.0,18010000000.0,3.2
FE,2012-12-31,172000000.0,770000000.0,50494000000.0,13084000000.0,37410000000.0,15255000000.0,1.85
FIS,2012-12-31,517600000.0,481100000.0,13549700000.0,6640900000.0,6908800000.0,5795800000.0,1.58
FISV,2012-12-31,358000000.0,611000000.0,8497000000.0,3417000000.0,5080000000.0,4436000000.0,4.5
FLIR,2012-12-31,321739000.0,222398000.0,2190655000.0,1599901000.0,590754000.0,1405358000.0,1.47
FMC,2012-12-31,77100000.0,416200000.0,4373900000.0,1480300000.0,2893600000.0,3409900000.0,3.01
FSLR,2012-12-31,901294000.0,-96338000.0,6348692000.0,3605526000.0,2743166000.0,3368545000.0,-1.11
FTR,2012-12-31,1341940000.0,46273000.0,17733631000.0,4107596000.0,13626035000.0,5011853000.0,0.14
GGP,2012-12-31,624815000.0,-481233000.0,27282405000.0,7621698000.0,19660707000.0,2426301000.0,
GILD,2012-12-31,1803694000.0,2592000000.0,21239838000.0,9302592000.0,11937246000.0,9702000000.0,1.71
GPC,2012-12-31,403095000.0,648041000.0,6807061000.0,2997887000.0,3809174000.0,13013868000.0,4.17
GRMN,2012-12-29,1231180000.0,542403000.0,4819124000.0,3531796000.0,1287328000.0,2715675000.0,2.78
GWW,2012-12-31,452063000.0,689881000.0,5014598000.0,3023912000.0,1990686000.0,8950045000.0,9.71
HAS,2012-12-31,849701000.0,335999000.0,4325387000.0,1507379000.0,2818008000.0,4088983000.0,
HBAN,2012-12-31,10734983000.0,631290000.0,56153185000.0,5790211000.0,50362974000.0,3036584000.0,0.71
HCA,2012-12-31,705000000.0,1605000000.0,28075000000.0,-9660000000.0,37735000000.0,33013000000.0,3.65
HCN,2012-12-31,1141421000.0,298030000.0,19549109000.0,10294801000.0,9254308000.0,1765979000.0,0.99
HES,2012-12-31,642000000.0,2025000000.0,43441000000.0,21090000000.0,22351000000.0,12245000000.0,5.98
HIG,2012-12-31,2421000000.0,-38000000.0,298513000000.0,22447000000.0,276066000000.0,22086000000.0,-0.18
HOG,2012-12-31,1256146000.0,623925000.0,9170773000.0,2557624000.0,6613149000.0,5580506000.0,2.75
HSIC,2012-12-29,122080000.0,388076000.0,5333997000.0,2613585000.0,2720412000.0,8939967000.0,4.44
HST,2012-12-31,453000000.0,61000000.0,12994000000.0,6825000000.0,6169000000.0,5059000000.0,0.08
HSY,2012-12-31,728272000.0,660931000.0,4754839000.0,1036749000.0,3718090000.0,6644252000.0,
IBM,2012-12-31,10412000000.0,16604000000.0,119213000000.0,18860000000.0,100353000000.0,102874000000.0,14.53
IDXX,2012-12-31,223986000.0,178267000.0,1103602000.0,636223000.0,467379000.0,1293338000.0,3.24
IFF,2012-12-31,324422000.0,254134000.0,3246192000.0,1248808000.0,1993637000.0,2821446000.0,3.11
IP,2012-12-31,1302000000.0,794000000.0,32153000000.0,6304000000.0,25849000000.0,21852000000.0,1.82
IPG,2012-12-31,2574800000.0,446700000.0,13493900000.0,2420600000.0,11073300000.0,6956200000.0,1.01
IRM,2012-12-31,277027000.0,170922000.0,6358339000.0,1149971000.0,5208368000.0,3003955000.0,0.99
IVZ,2012-12-31,1123300000.0,587300000.0,17492400000.0,8316800000.0,9175600000.0,4050400000.0,1.5
JBHT,2012-12-31,5589000.0,310354000.0,2464641000.0,791860000.0,1672781000.0,5054980000.0,2.64
JNPR,2012-12-31,2407800000.0,186500000.0,9832100000.0,6999000000.0,2833100000.0,4365400000.0,0.36
JPM,2012-12-31,471833000000.0,21284000000.0,2359141000000.0,204069000000.0,2155072000000.0,93646000000.0,5.22
K,2012-12-29,281000000.0,961000000.0,15169000000.0,2404000000.0,12765000000.0,14197000000.0,2.68
KIM,2012-12-31,141875000.0,266073000.0,9751234000.0,4765160000.0,4986074000.0,793373000.0,0.42
KO,2012-12-31,8442000000.0,9019000000.0,86174000000.0,32790000000.0,53384000000.0,48017000000.0,2.0
LEG,2012-12-31,359100000.0,250500000.0,3254900000.0,1434500000.0,1812700000.0,3414500000.0,1.72
LH,2012-12-31,466800000.0,583100000.0,6795000000.0,2717400000.0,4077600000.0,5671400000.0,6.09
